Attack Rate,Model,PR-AUC,ROC-AUC,Precision@50,Recall@50,Recall@100
1%,Isolation Forest,0.7737716037732988,0.48363697705802977,0.72,0.23684210526315788,0.5328947368421053
1%,One-Class SVM,0.8204790135299216,0.5560053981106613,0.74,0.24342105263157895,0.5328947368421053
1%,LOF,0.7469581443248969,0.37044534412955465,0.66,0.21710526315789475,0.47368421052631576
1%,BSAD (Bayesian),0.7987180498254471,0.48793859649122806,0.82,0.26973684210526316,0.4868421052631579
2%,Isolation Forest,0.8494128144589235,0.28230337078651685,0.78,0.21910112359550563,0.4943820224719101
2%,One-Class SVM,0.8877453472018808,0.33286516853932585,0.84,0.23595505617977527,0.4887640449438202
2%,LOF,0.8622863157397466,0.25702247191011235,0.78,0.21910112359550563,0.4887640449438202
2%,BSAD (Bayesian),0.9043440052477006,0.5758426966292135,0.86,0.24157303370786518,0.5168539325842697
5%,Isolation Forest,0.8747918714959464,0.05775401069518716,0.8,0.21390374331550802,0.48128342245989303
5%,One-Class SVM,0.916034128833715,0.20053475935828877,0.88,0.23529411764705882,0.48128342245989303
5%,LOF,0.8909616970329459,0.09358288770053476,0.8,0.21390374331550802,0.48128342245989303
5%,BSAD (Bayesian),0.9654833091690541,0.8053475935828878,0.96,0.25668449197860965,0.5240641711229946
