Attack Rate,Model,PR-AUC,ROC-AUC,Recall@10,Precision@10,Recall@25,Precision@25,Recall@50,Precision@50,Recall@100,Precision@100
1%,BSAD (Bayesian),0.9847792940584315,0.9998121122188286,0.11904761904761904,1.0,0.2976190476190476,1.0,0.5952380952380952,1.0,0.9642857142857143,0.81
1%,Isolation Forest,0.6310353353899936,0.9950813019842871,0.11904761904761904,1.0,0.2261904761904762,0.76,0.36904761904761907,0.62,0.6547619047619048,0.55
1%,One-Class SVM,0.5695975163048435,0.9810941671949135,0.09523809523809523,0.8,0.25,0.84,0.42857142857142855,0.72,0.6071428571428571,0.51
1%,LOF,0.03127276436522773,0.8497576067538755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2%,BSAD (Bayesian),0.9889374011970651,0.9997547039056472,0.05128205128205128,1.0,0.1282051282051282,1.0,0.2564102564102564,1.0,0.5128205128205128,1.0
2%,Isolation Forest,0.6719178495033823,0.9932616796767741,0.041025641025641026,0.8,0.08717948717948718,0.68,0.16923076923076924,0.66,0.3641025641025641,0.71
2%,One-Class SVM,0.6969727205747395,0.9918513578890937,0.046153846153846156,0.9,0.11282051282051282,0.88,0.18974358974358974,0.74,0.37948717948717947,0.74
2%,LOF,0.03355727197059839,0.6201639665790609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,BSAD (Bayesian),0.9850196575558156,0.9991821431905605,0.019646365422396856,1.0,0.04911591355599214,1.0,0.09823182711198428,1.0,0.19646365422396855,1.0
5%,Isolation Forest,0.6832389931477191,0.9858441012983244,0.019646365422396856,1.0,0.043222003929273084,0.88,0.07662082514734773,0.78,0.14538310412573674,0.74
5%,One-Class SVM,0.6510118301601998,0.9768594753917423,0.019646365422396856,1.0,0.04518664047151277,0.92,0.07662082514734773,0.78,0.15520628683693516,0.79
5%,LOF,0.10006761903676144,0.6250032343742464,0.0,0.0,0.009823182711198428,0.2,0.019646365422396856,0.2,0.05108055009823183,0.26
