PR-AUC,ROC-AUC,Precision@10,Recall@10,Precision@25,Recall@25,Precision@50,Recall@50,Precision@100,Recall@100,Attack Rate,Model
0.6683973548902882,0.9025896782184026,1.0,0.10101010101010101,1.0,0.25252525252525254,0.98,0.494949494949495,0.64,0.6464646464646465,1%,BSAD (Bayesian)
0.3804195897355814,0.9012312805869013,1.0,0.10101010101010101,0.92,0.23232323232323232,0.62,0.31313131313131315,0.36,0.36363636363636365,1%,Isolation Forest
0.3098441815087871,0.8794877366738795,1.0,0.10101010101010101,0.84,0.21212121212121213,0.56,0.2828282828282828,0.29,0.29292929292929293,1%,One-Class SVM
0.18565905340640868,0.6783699024381781,0.2,0.020202020202020204,0.52,0.13131313131313133,0.5,0.25252525252525254,0.33,0.3333333333333333,1%,LOF
0.7153001613438322,0.8894714824636761,1.0,0.04878048780487805,1.0,0.12195121951219512,1.0,0.24390243902439024,0.99,0.48292682926829267,2%,BSAD (Bayesian)
0.29101104622245005,0.8686818809995145,1.0,0.04878048780487805,0.8,0.0975609756097561,0.56,0.13658536585365855,0.4,0.1951219512195122,2%,Isolation Forest
0.21465096754361787,0.8331027527733165,1.0,0.04878048780487805,0.8,0.0975609756097561,0.64,0.15609756097560976,0.43,0.2097560975609756,2%,One-Class SVM
0.06941295321644125,0.5842500529140056,0.1,0.004878048780487805,0.08,0.00975609756097561,0.04,0.00975609756097561,0.11,0.05365853658536585,2%,LOF
0.7036529237542805,0.8910142439390838,1.0,0.02109704641350211,1.0,0.052742616033755275,1.0,0.10548523206751055,1.0,0.2109704641350211,5%,BSAD (Bayesian)
0.4185216022338797,0.8429178061197823,1.0,0.02109704641350211,1.0,0.052742616033755275,0.98,0.10337552742616034,0.86,0.18143459915611815,5%,Isolation Forest
0.3928576538851971,0.8307133663054965,1.0,0.02109704641350211,1.0,0.052742616033755275,1.0,0.10548523206751055,0.86,0.18143459915611815,5%,One-Class SVM
0.15427095428858845,0.6123710059344577,0.0,0.0,0.24,0.012658227848101266,0.26,0.027426160337552744,0.28,0.05907172995780591,5%,LOF
